Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1069070121711386630,Chief Election Commissioner on #DemonetisationDisaster to @KhurafatiChopra https://t.co/N79K59dw9j,James Wilson,jamewils,Sun Dec 02 03:25:54 +0000 2018,0,0,English,Twitter for Android,Retweet,Photo,0,1,1
1069070634238525440,#DemonetisationDisaster currency notes ?? ????????? ??? ?? ???? cut ??? ?? ?? ????? ! ????? ?? ??? ???? ????? ?? ?? ???? ?? ???? ??? ?? ; ??? ???? ?? ??? ! ?????? ?? ????? ?? ????? ????? ??? ?? ???? ?? ?? ! ??? ???? ?? ??? ! https://t.co/zZTExsGbnd,mohit kumar sharma,mohit_maestro,Sun Dec 02 03:27:56 +0000 2018,0,0,Hindi,Twitter for Android,Tweet,Photo,0,1,0
1069070691541139456,Chief Election Commissioner on #DemonetisationDisaster to @KhurafatiChopra https://t.co/N79K59dw9j,Raj,rajkshroff,Sun Dec 02 03:28:09 +0000 2018,0,0,English,Twitter for Android,Retweet,Photo,0,1,1
1069071043602436098,Chief Election Commissioner on #DemonetisationDisaster to @KhurafatiChopra https://t.co/N79K59dw9j,Harry Sam,189cloud,Sun Dec 02 03:29:33 +0000 2018,0,0,English,Twitter for Android,Retweet,Photo,0,1,1
1069071077677031424,Chief Election Commissioner on #DemonetisationDisaster to @KhurafatiChopra https://t.co/N79K59dw9j,??,rkartha,Sun Dec 02 03:29:41 +0000 2018,0,0,English,Twitter for Android,Retweet,Photo,0,1,1
1069071480934281216,Chief Election Commissioner on #DemonetisationDisaster to @KhurafatiChopra https://t.co/N79K59dw9j,spacebar,ksagga,Sun Dec 02 03:31:18 +0000 2018,0,0,English,Twitter Web Client,Retweet,Photo,0,1,1
1069071532922564609,Chief Election Commissioner on #DemonetisationDisaster to @KhurafatiChopra https://t.co/N79K59dw9j,Tejas K,tejjINC,Sun Dec 02 03:31:30 +0000 2018,0,0,English,Twitter for iPhone,Retweet,Photo,0,1,1
1069071663327789057,Chief Election Commissioner on #DemonetisationDisaster to @KhurafatiChopra https://t.co/N79K59dw9j,TrulyIndian,trulyindian18,Sun Dec 02 03:32:01 +0000 2018,0,0,English,Twitter for Android,Retweet,Photo,0,1,1
1069072664461959169,"""Time To Punish Modi For Demonetisation Fiasco"" - Yashwant Sinha

Yes we have to punish him in the upcoming elections 

#DemonetisationDisaster 

https://t.co/ZCuMRjQeu5",AIPC Kochi,AipcKochi,Sun Dec 02 03:36:00 +0000 2018,7,6,English,TweetDeck,Tweet,,1,1,0
1069073160123772934,Chief Election Commissioner on #DemonetisationDisaster to @KhurafatiChopra https://t.co/N79K59dw9j,.                                          .??????,gosin7,Sun Dec 02 03:37:58 +0000 2018,0,0,English,Twitter Lite,Retweet,Photo,0,1,1
1069073406010617857,"""Time To Punish Modi For Demonetisation Fiasco"" - Yashwant Sinha

Yes we have to punish him in the upcoming elections 

#DemonetisationDisaster 

https://t.co/ZCuMRjQeu5",Thomas,heartindian_,Sun Dec 02 03:38:57 +0000 2018,0,0,English,Twitter for Android,Retweet,,1,1,0
1069073410196672513,Chief Election Commissioner on #DemonetisationDisaster to @KhurafatiChopra https://t.co/N79K59dw9j,Nikhil Utane,nikhil_no_1,Sun Dec 02 03:38:58 +0000 2018,0,0,English,Twitter for Android,Retweet,Photo,0,1,1
1069073554212175872,Chief Election Commissioner on #DemonetisationDisaster to @KhurafatiChopra https://t.co/N79K59dw9j,Azad,unfunnycomedyN,Sun Dec 02 03:39:32 +0000 2018,0,0,English,Twitter for Android,Retweet,Photo,0,1,1
